Name,expected
Bourbon Chicken,Chinese
General Tso's Tofu,Chinese
Authentic Chicken Tikka Masala,Indian
Butter Chicken (Murgh Makhani),Indian
Naan Bread,Indian
Indian Chicken Curry,Indian
Authentic Saag Paneer,Indian
Chef John's Tandoori Chicken,Indian
Keema (Indian-Style Ground Meat),Indian
Aloo Paratha,Indian
Pakistani Spicy Chickpeas,Indian
Air Fryer Pakoras,Indian
Vegetable Biryani,Indian
Easy Baked Indian Samosas,Indian
Vegan Sweet Potato Chickpea Curry,Indian
Quick and Easy Vegetable Curry,Indian
Buffalo Chicken Calzone,Italian
American Lasagna,Italian
Tofu Tacos,Mexican
Irish Tacos,Mexican
Baked BBQ Pulled Pork Nachos,Mexican
"""Cheeseburger"" Quesadillas",Mexican
Greek Spanakopita,Other
Thai Red Chicken Curry,Other
Korean Bulgogi Bowl,Other
Irish Soda Bread,Other
Beef Empanadas,Other
Teriyaki Salmon,Other
Moroccan-Inspired Meatloaf,Other
Pumpkin Cream Cheese Bread,American
Cheesy Ham and Asparagus Bake,American
Tuna Noodle Casserole I,American
After the Holidays Chicken Cordon Bleu Casserole,American
Dried Cherry and Cranberry Sauce,American
Perfect Mixed Greens,American
Ellen's Vegan Stuffed Peppers,American
Sugar-Free Date Cookies,American
Chia Fresca,American
Game Day Bites,American
Cream of Mushroom Soup,American
Cookie Press Butter Cookies,American
Campfire Banana Splits,American
Gingerbread Cookie Mix in a Jar,American
Justine's Artichoke Chicken Spinach Dip,American
Overnight French Toast II,American
Light and Soft Peanut Butter Cookies,American
Chef John's Kumquat Marmalade,American
Cheese Ring,American
Fresh Cranberry-Orange Sauce,American
Pineapple Fried Rice with Ham,Chinese
Pork Lo Mein,Chinese
Ground Turkey Lettuce Wraps,Chinese
Sweet and Sour Pork,Chinese
Chicken Fried Rice,Chinese
Stir-Fry Chicken and Vegetables,Chinese
Garlic Ginger Tofu,Chinese
Traditional Chinese Scallion Pancakes,Chinese
Air Fryer Bang Bang Tofu,Chinese
Chicken Lettuce Wraps,Chinese
Egg Rolls,Chinese
Jumbo Shrimp and Asparagus,Chinese
Pork Dumplings,Chinese
Quick Asian Lettuce Wraps,Chinese
Stir-Fried Rice,Chinese
Jian Bing (Chinese Crêpes),Chinese
Leftover Pork Fried Rice,Chinese
Restaurant-Style Beef and Broccoli,Chinese
Air Fryer Fried Rice,Chinese
Indian Chole Aloo Tikki,Indian
Green Chutney,Indian
Kurkuri Bhindi (Crispy Okra) in the Air Fryer,Indian
Butter Lamb Gravy,Indian
Keema Aloo (Ground Beef and Potatoes),Indian
Spinach and Cauliflower Bhaji,Indian
Curry Pasta - Pakistani Style,Indian
Tandoori Masala Spice Mix,Indian
Slow Cooker Butter Chicken,Indian
Curried Beef with Winter Vegetables,Indian
Prawn Malai Curry,Indian
Pakistani Lamb Chops,Indian
Indian Omelette,Indian
Tomato Chutney,Indian
Coconut Chikki,Indian
Tandoori-Inspired Oven Chicken Skewers,Indian
See Ma's Butternut Squash and Cauliflower Soup,Indian
Haldi Ka Doodh (Hot Turmeric Milk),Indian
Reshmi Kebab (Silken Kebabs),Indian
Vegetable Stovetop Frittata,Italian
Homemade Red Pasta Dough,Italian
Shiitake and Baby Bella Mushroom Risotto,Italian
Eggplant and Tomato Caponata,Italian
Creamy Spinach Tortellini,Italian
Linda's Lasagna Recipe,Italian
Stuffed Eggplant Parmesan Rolls,Italian
Creamy Smoked Salmon Pasta,Italian
Raspberry Tiramisu,Italian
Healthier Eggplant Parmesan,Italian
Three-Cheese Broccoli Manicotti,Italian
Italian Mac and Cheese,Italian
Basic Marinara for the Instant Pot,Italian
Brownie Biscotti,Italian
Zesty Italian Sausage Pasta,Italian
Meat and Veggie Stromboli,Italian
Prosciutto Wrapped Melon Balls,Italian
Gnocchi Cacciatore Soup,Italian
Ceviche Self-Portrait,Mexican
Mexican Bean and Rice Salad,Mexican
Tajin® Fruit Salad,Mexican
Asparagus Guacamole,Mexican
Pina Colada Flan,Mexican
Vegan Spanish Rice,Mexican
Poor Man's Ceviche,Mexican
Easy Chilaquiles,Mexican
3-Cheese Enchiladas,Mexican
Bacon and Egg Tacos,Mexican
Easy White Chicken Enchiladas,Mexican
Chicken Chilaquiles Casserole,Mexican
Tortillas I,Mexican
Breakfast Burritos,Mexican
Fresh Tomato Salsa,Mexican
Chili Relleno Casserole,Mexican
Slow Cooker Enchiladas,Mexican
Delicious Black Bean Burritos,Mexican
Carrot Ceviche (Vegan),Mexican
French Onion Soup IX,Other
Philippine Longanisa de Eugenio (Sweet Sausage),Other
Dutch Croquetten,Other
Clamato® Bloody Caesar,Other
Cascadia Fideua,Other
Pinakbet,Other
Original Steak Tartare,Other
Deep Fried Corn Meal Sticks (Sorullitos de Maiz) with Dipping Sauce,Other
New Mom Broccoli Kugel,Other
Easy Homemade Sauerkraut,Other
Portuguese Steamed Clams,Other
Pumpkin Sufganiot with Cranberry Jelly,Other
Potato Scones,Other
Maicena (Corn Pudding),Other
Day After Thanksgiving Turkey Pho,Other
Chilean Alfajores,Other
Scotch Scones,Other
Pumpkin Soup with Coconut Milk,Other
Codfish with Cream,Other
Kielbasa and Cabbage,Other
