Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,llm_cuisine
Asian Cabbage Salad,4.5,This Asian cabbage salad is more like a slaw as it's made with shredded cabbage and carrots. Crushed ramen noodles and toasted sesame seeds give it extra crunch factor. It's tossed with a delicious sesame oil and rice vinegar dressing.,15 mins,5 mins,20 mins,6,"2 tablespoons sesame seeds | 4 cups shredded cabbage | 2 carrots, shredded | 1 (3 ounce) package ramen noodles, crushed | ⅓ cup olive oil | 2 tablespoons white sugar | 1 ½ tablespoons rice vinegar | ½ teaspoon sesame oil | ½ teaspoon salt | ¼ teaspoon black pepper",https://www.allrecipes.com/thmb/dmE-TOQU_o7nRxXo8_0JxnXtODc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/80526-ddmfs-chinese-cabbage-salad-4X3-2117-86e32e182f5e457a81b1a3a9c642e9de.jpg,15.0,5.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",American
Vietnamese Fresh Spring Rolls,4.7,"These fresh Vietnamese spring rolls are a refreshing change from the usual fried variety and have become a family favorite. They are a lovely, light appetizer and delicious dipped in one or both of the sauces included in this recipe. Great for parties as you can prep them ahead of time.",45 mins,5 mins,50 mins,8,"2 ounces rice vermicelli noodles | 8 rice wrappers (8.5 inch diameter) | 8 large cooked shrimp - peeled, deveined and cut in half | 2 leaves lettuce, chopped | 3 tablespoons chopped fresh mint leaves | 3 tablespoons chopped fresh cilantro | 1 ⅓ tablespoons chopped fresh Thai basil | ¼ cup water | 2 tablespoons fresh lime juice | 2 tablespoons white sugar | 4 teaspoons fish sauce | 1 clove garlic, minced | ½ teaspoon garlic chili sauce | 3 tablespoons hoisin sauce | 1 teaspoon finely chopped peanuts",,45.0,5.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",Other
Doggy Meatloaf with Vegetables,4.5,"This is a simple, easy and nutritious recipe to use as a substitute for canned dog food.",15 mins,1 hr 20 mins,1 hr 35 mins,12,"1 ½ pounds lean ground beef | 3 stalks celery, chopped | 2 carrots, grated | 1 apple, cored and diced | 2 eggs | 2 slices white bread, torn into pieces | 1 cup regular rolled oats | 1 cup wheat germ | 1 (6 ounce) can tomato paste | 4 medium potatoes, cubed | 3 carrots, chopped | 1 stalk celery, cubed",https://www.allrecipes.com/thmb/tooiqYqBcF0PijWgqWF9uDml-E4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6500377-4d73435541284195a9a045cdf7774f93.jpg,15.0,80.0,95.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",American
Zucchini Waffles (Green Waffles),4.1,"A gluten-free waffle using zucchini and dry potato flakes--think green eggs and ham. Serve with sour cream, tart jam, onion chip dip, or applesauce. They can be breakfast, brunch, lunch, or a side dish. Easier than standing at the stove and frying zucchini pancakes. I like them with my homemade rhubarb jam.",15 mins,5 mins,20 mins,8,3 cups shredded zucchini | 2 eggs | 1 tablespoon vegetable oil | ¼ teaspoon onion powder | 1 pinch salt | ½ cup dry potato flakes | ¼ teaspoon baking powder,https://www.allrecipes.com/thmb/egqxjYn0Y6rMmzOFcXAcWj0NCCA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-recipe-254805-zucchini-waffles-green-waffles-VAT-hero-03-4x3-0e848d9fc3264c5393aa4e11a24edaba.jpg,15.0,5.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",American
Sunomono (Japanese Cucumber Salad),4.7,Sunomono is a delicious and simple Japanese cucumber salad made with thinly sliced cucumbers in a sweet and sour vinegar dressing. It makes a refreshing salad or light side dish with salmon or pork.,15 mins,,15 mins,5,"2 large cucumbers, peeled | ⅓ cup rice vinegar | 4 teaspoons white sugar | 1 ½ teaspoons minced fresh ginger root or to taste | 1 teaspoon salt or to taste",https://www.allrecipes.com/thmb/Mus806Db2b9kQ7ZljL_eYUYwIz0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-14050-cucumber-sunomono-VAT-4x3-2e29f41bdf3a4a6fbf23dcb47322db07.jpg,15.0,,15.0,0.0,,,,Other
Japanese-Style Sesame Green Beans,4.5,"I discovered this dish at my Japanese mother-in-law's house during a family holiday buffet. She had many friends who brought wonderful Japanese dishes, and this was and has remained one of my favorites. It's light and fresh any time of the year.",5 mins,15 mins,20 mins,4,"1 tablespoon canola oil | 1 ½ teaspoons sesame oil | 1 pound fresh green beans, washed | 1 tablespoon soy sauce | 1 tablespoon toasted sesame seeds",https://www.allrecipes.com/thmb/4o1M0nI1XzP4RZoWjyqYZX76pFw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1103965-0c79ddcc8b83487592c8c6a153814465.jpg,5.0,15.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",Other
Swedish Limpa Rye Bread,4.5,"Wonderful, dark Swedish limpa bread.",20 mins,40 mins,3 hrs 35 mins,8,"1 ½ teaspoons caraway seeds | 1 ½ teaspoons fennel seeds | 1 ½ teaspoons anise seeds | 1 ¼ cups whole milk | ¼ cup butter, cut into cubes | ¼ cup molasses | 3 ½ teaspoons active dry yeast | 2 cups all-purpose flour, or more as needed | 1 cup rye flour | 1 ½ teaspoons sea salt | 1 teaspoon orange zest",https://www.allrecipes.com/thmb/jznfR601n7HTq-2xN1Bq1pO3xhw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6108355-64847974fb6c4f9ab1dfca124f6ba265.jpg,20.0,40.0,215.0,155.0,E,Long Wait,Wait time > 30 min,Other
French Onion Soup Gratinée,4.8,This is the best French onion soup recipe I know. I have been making it for 30 years and it never fails to please. It makes an exquisite presentation too!,15 mins,1 hr,1 hr 15 mins,4,"4 tablespoons butter | 2 large red onions, thinly sliced | 2 large sweet onions, thinly sliced | 1 teaspoon salt | 1 (48 fluid ounce) can chicken broth | 1 (14 ounce) can beef broth | ½ cup red wine | 1 tablespoon Worcestershire sauce | 2 sprigs fresh parsley | 1 sprig fresh thyme leaves | 1 bay leaf | 1 tablespoon balsamic vinegar | salt and freshly ground black pepper to taste | 4 thick slices French bread | 8 slices Gruyère cheese, at room temperature | ½ cup shredded Asiago cheese, at room temperature | 4 pinches paprika",,15.0,60.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",Other
Ham and Split Pea Soup Recipe — A Great Soup,4.8,"This hearty split pea soup with ham has a slightly sweet, somewhat salty, and subtle smoky flavor. An ideal fall or winter soup — great for lunch or dinner.",15 mins,1 hr 30 mins,1 hr 45 mins,8,"2 tablespoons butter | 2 ribs celery, diced | ½ onion, diced | 3 cloves garlic, sliced | 1 pound dried split peas, rinsed | 1 pound cooked ham, diced | 1 bay leaf | 1 quart chicken stock | 2 ½ cups water | salt and ground black pepper to taste",,15.0,90.0,105.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",American
Chicken Saltimbocca,4.7,"Chicken saltimbocca is quick, easy, and so delicious! Saltimbocca is a traditional Italian dish made with veal, but I prefer to use chicken cutlets. Once you taste the mouthwatering combination of chicken, sage, and prosciutto in a buttery sauce, you'll know why Italians love it so much.",15 mins,15 mins,30 mins,8,8 (6 ounce) chicken cutlets | 1 teaspoon salt | ½ teaspoon black pepper | 16 large fresh sage leaves | 16 thin slices prosciutto | 3 tablespoons olive oil | 1 cup dry white wine | 1 cup low-sodium chicken broth | ½ stick butter,https://www.allrecipes.com/thmb/XHJ8yiCj6ZjVDDAC_gQfSjNbIuk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2338678-7c6cb6355b3b4f598f069ae93d00d77f.jpg,15.0,15.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",Italian
Lentil and Sausage Soup,4.7,This hearty sausage and lentil soup is full of flavor. Sprinkle freshly grated Romano cheese over each bowl.,20 mins,3 hrs 5 mins,3 hrs 25 mins,10,"½ pound sweet Italian pork sausage, cut into 1/2-inch slices | 1 large onion, chopped | 1 stalk celery, finely chopped | 1 tablespoon chopped garlic | 8 cups water | 2 (14.5 ounce) cans chicken broth | 1 (28 ounce) can diced tomatoes | 1 (16 ounce) package dry lentils, rinsed | 1 cup shredded carrot | 1 tablespoon garlic powder | 1 tablespoon chopped fresh parsley | 1 tablespoon salt, or to taste | ½ teaspoon black pepper | ½ teaspoon dried oregano | ¼ teaspoon dried thyme | ¼ teaspoon dried basil | 2 large bay leaves | ½ pound ditalini pasta (Optional)",https://www.allrecipes.com/thmb/FvLxEW2UAXtANznRQeyVyptfhLc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/54591-lentil-and-sausage-soup-Yan-4x3-1-39817701157143eeaf378a2638f9fb77.jpg,20.0,185.0,205.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",Italian
Bacon-Wrapped Jalapeño Poppers,4.8,These jalapeño poppers are creamy in the middle with crispy bacon on the outside. They're super easy to make and taste so much better than traditional poppers.,15 mins,25 mins,40 mins,6,"½ cup cream cheese | ½ cup shredded sharp Cheddar cheese | 12 jalapeño peppers, halved lengthwise, seeds and membranes removed | 12 slices bacon",,15.0,25.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Italian Wedding Cookies,4.8,These Italian wedding cookies are sometimes called Mexican wedding cookies or butterballs and can be shaped into crescents. They're also delicious made with pecans or hazelnuts instead of almonds. Great for gifting! This recipe was given to me by a friend who grew up in central Europe; they are the best wedding cookies I've ever had.,45 mins,15 mins,1 hr 15 mins,80,"1 ½ cups unsalted butter | ¾ cup confectioners' sugar | ¾ teaspoon salt, or to taste | 1 ½ cups finely ground almonds | 4 ½ teaspoons vanilla extract | 3 cups sifted all-purpose flour | ⅓ cup confectioners' sugar for rolling",,45.0,15.0,75.0,15.0,D,Short Wait,Wait time 1-30 min,American
Banana Cookies,4.7,"These fluffy and delicious banana cookies should be called ""Houdini cookies"" since they disappear so quickly! My 1-year-old daughter loves to help make them — she pulls the paper from the butter, peels the bananas, then mashes and mixes. This recipe was my grandmother's banana bread recipe, but one day I was in a rush and didn't want to wait an hour for the bread to bake, so I tried cookies instead. We all agreed — it came out better this way.",10 mins,15 mins,25 mins,12,"1 ½ cups all-purpose flour | 2 medium ripe bananas, mashed, or more to taste | ½ cup white sugar | ¼ cup butter, melted | ¼ cup chopped walnuts (Optional) | 1 large egg | 1 teaspoon baking soda | ¼ teaspoon salt | 1 tablespoon white sugar",,10.0,15.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",American
Chef John's Pumpkin Pie,4.8,This best pumpkin pie recipe came about after many years of experimentation. I've finally perfected what I think is the ideal formula for a rich pumpkin pie that's much less likely to crack on top. Serve garnished with whipped cream and freshly grated nutmeg.,15 mins,45 mins,1 hr,8,1 (15 ounce) can pumpkin puree | 3 egg yolks | 1 large egg | 1 (14 ounce) can sweetened condensed milk | 1 teaspoon ground cinnamon | ½ teaspoon ground ginger | ½ teaspoon fine salt | ¼ teaspoon freshly grated nutmeg | ⅛ teaspoon Chinese 5-spice powder | 1 9-inch unbaked pie crust (see footnote for recipe link),,15.0,45.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Instant Pot Hungarian Goulash,,Use this hack to make Hungarian goulash using an Instant Pot. Serve with spaetzle.,20 mins,50 mins,1 hr 25 mins,6,"1 pound beef sirloin, cubed | ¼ cup all-purpose flour | 1 tablespoon paprika | 1 teaspoon cayenne pepper, divided | ½ teaspoon ground white pepper, divided | 2 teaspoons olive oil, divided | 1 teaspoon bacon fat | 2 cups water | 2 teaspoons beef base | 1 onion, chopped | 1 red bell pepper, chopped | 2 cloves garlic, chopped | 1 tablespoon tomato paste | 2 tablespoons red pepper paste | ½ teaspoon dried minced shallot | ¼ cup sour cream",https://www.allrecipes.com/thmb/wSlZ--3vOIR6Vd7KhP19cVUmkQ8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7561975-10bea60afe0c4ebaa007df85703213f9.jpg,20.0,50.0,85.0,15.0,D,Short Wait,Wait time 1-30 min,Other
Adobong Pusit (Squid Adobo),4.1,"Adobong pusit is a Filipino squid recipe that tastes best if you use fresh, smaller squid. Squid is simmered with onion, garlic, tomato, vinegar, and soy sauce for a tasty meal.",10 mins,35 mins,45 mins,5,"2 ¼ pounds squid, cleaned | ½ cup white vinegar | ½ cup water | salt and ground black pepper to taste | 2 tablespoons olive oil | 1 small onion, minced | 2 cloves garlic, minced | 1 tomato, chopped | 1 tablespoon soy sauce",https://www.allrecipes.com/thmb/g1TgKZ7tWCD7kYJS8Am-LWB2LJA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6296135-adobong-pusit-squid-adobo-Bret-Michael-Urmeneta-4x3-1-4e6eb0e248bb4f7cb8261c12b3e2e45f.jpg,10.0,35.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",Other
Basic Fondue,3.9,"A simple cheese fondue recipe without wine, but with big flavor. Your fondue party won't start hopping until the cheese starts melting. Get busy with this easy, basic Cheddar cheese fondue. It's perfect with pieces of bread or vegetables.",5 mins,10 mins,15 mins,64,"2 cups milk | 3 tablespoons all-purpose flour | 1 tablespoon Worcestershire sauce | 2 teaspoons ground dry mustard | 1 clove garlic, peeled and crushed | 6 cups shredded Cheddar cheese",https://www.allrecipes.com/thmb/Cdd9ayB3GGzKmix8G3mGz86dEdg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9109882-20a5f8fdeb214befa95892d60b201c13.jpg,5.0,10.0,15.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",Other
Carrot Cake with Bourbon Cheesecake Swirl,3.8,"The all-in-one carrot cake. No need to make extra cream cheese frosting, because the frosting is inside!",25 mins,40 mins,1 hr 10 mins,10,"1 ¼ cups all-purpose flour | 1 teaspoon baking powder | 1 teaspoon pumpkin spice | ½ teaspoon baking soda | ½ cup butter, at room temperature | ½ cup packed brown sugar | 2 eggs, lightly beaten | ¼ cup plain yogurt | 1 cup packed finely grated carrots | 1 (4 ounce) package cream cheese, softened | ¼ cup white sugar | 1 egg, lightly beaten | 3 tablespoons all-purpose flour | 1 tablespoon bourbon whiskey | 1 teaspoon grated orange zest",,25.0,40.0,70.0,5.0,D,Short Wait,Wait time 1-30 min,American
Seven Layer Casserole,3.5,"Tasty and filling, this is a wonderful 'got everything in the house' recipe!! This recipe is very versatile. I have substituted many different ingredients like yams, corn and even cheese soup. It all comes out yummy!",10 mins,45 mins,55 mins,5,"½ cup uncooked long-grain white rice | 3 potatoes, sliced | 1 onion, sliced into rings | 2 carrots, cut into 1 inch pieces | 1 (15 ounce) can green peas, with liquid | 1 (10.75 ounce) can condensed tomato soup | 1 (10.75 ounce) can water | 1 pound pork sausage, sliced and browned | salt and pepper to taste",https://www.allrecipes.com/thmb/PuBbWNN8Wd1APMb0nnp7BjM8VNU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5203866-seven-layer-casserole-Ann-Freele-4x3-1-79b8426a7d72438fb5ac20816417827b.jpg,10.0,45.0,55.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Blonde Brownies,4.5,"These blonde brownies are rich and chewy, with chocolate chips on top.",30 mins,20 mins,50 mins,6,"1 cup sifted all-purpose flour | ½ teaspoon baking powder | ½ teaspoon salt | ⅛ teaspoon baking soda | ½ cup chopped walnuts | 1 cup packed brown sugar | ⅓ cup butter, melted | 1 large egg, beaten | 1 tablespoon vanilla extract | ⅔ cup semisweet chocolate chips",,30.0,20.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Spicy Flank Steak,4.1,This spicy flank steak is full of flavor and texture. Add Ranch dressing for dipping!,10 mins,10 mins,40 mins,6,"2 teaspoons paprika | 2 teaspoons ground coriander | 2 teaspoons ground cumin | 1 teaspoon garlic salt | 1 pinch ground black pepper | 2 pounds flank steak, cut into strips | ½ cup Ranch dressing",https://www.allrecipes.com/thmb/nQLmt4Dofrj8OCkJUOewMttWms4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/spicy-flank-steak-fabeveryday-f511154b3aaf4a88ad19a26029fb7c99.jpeg,10.0,10.0,40.0,20.0,D,Short Wait,Wait time 1-30 min,American
Doug's Easy Applesauce,4.8,A simple applesauce using brown sugar and apple cider.,15 mins,20 mins,35 mins,8,"12 medium apples - peeled, cored and chopped | ⅓ cup light brown sugar | 1 ½ teaspoons ground cinnamon | 1 ½ teaspoons lemon juice | 1 cup apple cider | 1 pinch salt, or to taste",https://www.allrecipes.com/thmb/Q4QiLEsx0TrR9ozZeWBDwrHK2DI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4787602-2cf8048f23df4c669759652f702869b0.jpg,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Creamy Guilt-Free Fudge,4.2,This low-calorie fudge is everything you would expect in a fudge — it's creamy and chocolaty! It's made with low-fat condensed milk which lightens up this sweet treat.,5 mins,5 mins,3 hrs 10 mins,25,1 ½ cups semi-sweet chocolate chips | ⅔ cup low-fat sweetened condensed milk | ¾ teaspoon vanilla extract | 1 pinch salt,https://www.allrecipes.com/thmb/IGJZoH4x92gmIM60CGNFxsg-UTU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8086938-270fe75d69af4429abed92387c2ff35b.jpg,5.0,5.0,190.0,180.0,E,Long Wait,Wait time > 30 min,American
Hot Cinnamon Apple Brandy Cider,4.6,"This sweet, delightful hot cinnamon apple brandy cider is spiced with freshly squeezed apple cider, cloves, nutmeg, ginger, and cinnamon!",10 mins,10 mins,20 mins,10,½ gallon fresh apple cider | 1 cup apple brandy | ¼ cup brown sugar | 1 tablespoon brown sugar | ¼ cup honey | 1 teaspoon ground cinnamon | ¾ teaspoon ground ginger | ½ teaspoon ground nutmeg | ½ teaspoon ground cloves | ½ teaspoon ground black pepper | 1 pinch salt | 10 thin strips orange zest | 10 small cinnamon sticks,https://www.allrecipes.com/thmb/nl3Id4T5hYa6k_XXBSsE2NpAcqQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4129724-2dca4d4d0e8542b88d99224f939d97c4.jpg,10.0,10.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",American
Candied Yams,4.7,This candied yams recipe is a simple and quick way to enjoy a Thanksgiving favorite! Canned yams or sweet potatoes may be used.,15 mins,25 mins,40 mins,6,"1 (29 ounce) can sweet potatoes, drained | ¼ cup butter, cut into pieces | ½ cup brown sugar | 1 ½ cups miniature marshmallows",,15.0,25.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Rum Truffles,4.5,"These truffles will be soft inside despite that it feels firm on the outside. You only need to store them in a cool place, but not necessarily the fridge. Make sure you always use an airtight container! Be sure to use good quality chocolate!",10 mins,10 mins,1 hr 50 mins,24,"8 (1 ounce) squares bittersweet chocolate, chopped | ¼ cup cream | 2 tablespoons unsalted butter | ½ cup chocolate cake crumbs | 2 teaspoons dark rum | ½ cup chocolate sprinkles",https://www.allrecipes.com/thmb/RpJeJmgBACjNRKXy5S7cag9sHbk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2611813-fdb06f0637e040e985ffb8acb6f70881.jpg,10.0,10.0,110.0,90.0,E,Long Wait,Wait time > 30 min,American
Easy Baklava,4.8,"This baklava recipe is simple and easy. Transfer the baklava slices into cupcake papers for easy serving. These pastries freeze well, too.",30 mins,50 mins,1 hr 20 mins,36,"1 pound chopped nuts | 1 teaspoon ground cinnamon | 1 (16 ounce) package phyllo dough | 1 cup butter, melted | 1 cup white sugar | 1 cup water | ½ cup honey | 1 teaspoon vanilla extract | 1 teaspoon grated lemon zest",,30.0,50.0,80.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",Other
Fluffy Pancakes,4.8,"Need a fluffy pancake recipe? This one is just right, especially when there's plenty of butter and syrup. Make it extra special with berries and cream!",10 mins,10 mins,25 mins,4,"¾ cup milk | 2 tablespoons white vinegar | 1 cup all-purpose flour | 2 tablespoons white sugar | 1 teaspoon baking powder | ½ teaspoon baking soda | ½ teaspoon salt | 1 egg | 2 tablespoons butter, melted | cooking spray",,10.0,10.0,25.0,5.0,D,Short Wait,Wait time 1-30 min,American
